id,student_id,subject_id,oral_test,fifteen_minutes_test,one_period_test,final_exam,average_mark,created_by
86,9,6,4.1,6.5,6.2,6.2,5.8,system
87,9,7,4.3,4.8,9.5,7.8,6.6,system
88,9,8,5.7,9.2,6.8,8,7.4,system
89,9,9,7.4,5.5,8.3,7.9,7.3,system
90,9,10,4,5,7,7.9,6,system
91,10,1,9.4,9.2,5.2,6.3,7.5,system
92,10,2,5,9.6,9.6,6.1,7.6,system
93,10,3,6.9,4.1,9.5,6.5,6.8,system
94,10,4,7.7,5,9.8,7.6,7.5,system
95,10,5,4.3,7.6,5.7,4.4,5.5,system
96,10,6,8.9,8,4.4,5.1,6.6,system
97,10,7,6.9,8.8,9.4,6.9,8,system
98,10,8,4.8,9,9.6,4.6,7,system
99,10,9,7.5,7,5.1,9,7.2,system
100,10,10,9.5,8.1,6.8,8.6,8.3,system
101,11,1,9.7,8.6,9.1,5.4,8.2,system
102,11,2,6.2,9.7,8.9,8.3,8.3,system
103,11,3,7.9,9.8,7.2,8.4,8.3,system
104,11,4,9.4,8.9,7.9,8.6,8.7,system
105,11,5,8.8,6.2,7.9,6.5,7.4,system
106,11,6,9.1,6.4,6.4,9.8,7.9,system
107,11,7,7.4,7.8,6.6,8.5,7.6,system
108,11,8,8.6,9.4,4.7,6.4,7.3,system
109,11,9,6,8.9,5.3,8.6,7.2,system
110,11,10,6.7,9.7,5.7,4,6.5,system
111,12,1,7.9,5.7,9.7,9.7,8.3,system
112,12,2,8.5,4.7,9.2,7.2,7.4,system
113,12,3,5.5,7,9.7,6.6,7.2,system
114,12,4,8.4,6.3,9.8,4.1,7.2,system
115,12,5,5.1,7.3,5.1,7.6,6.3,system
116,12,6,5.5,8,6.6,4.3,6.1,system
117,12,7,7.7,6,6.9,4.4,6.3,system
118,12,8,8.6,7.2,5.3,5.9,6.8,system
119,12,9,7,4.3,6.9,8.7,6.7,system
120,12,10,9.5,7.6,5.1,7.6,7.5,system
121,13,1,6.8,6.5,7,5.7,6.5,system
122,13,2,9.1,7.7,9.8,6.7,8.3,system
123,13,3,8.8,9.8,8.4,6.7,8.4,system
124,13,4,6.5,5.8,6.3,6.5,6.3,system
125,13,5,9.7,5.8,8.2,4,6.9,system
126,13,6,10,5.5,7.1,7.4,7.5,system
127,13,7,5.4,8.1,4.1,5.3,5.7,system
128,13,8,9,5.7,7.1,7.6,7.4,system
129,13,9,8.8,8.1,4.4,4.4,6.4,system
130,13,10,4.6,9.6,9.2,9.7,8.3,system
131,14,1,7.8,9.6,9,7.9,8.6,system
132,14,2,6.3,5.9,8.8,5.5,6.6,system
133,14,3,6.7,8.5,5.8,4.6,6.4,system
134,14,4,4.1,7.1,4.4,5.1,5.2,system
135,14,5,6,7,6.9,6.4,6.6,system
136,14,6,9.1,4.8,5.6,9.6,7.3,system
137,14,7,8.4,8.9,6.8,7.9,8,system
138,14,8,4,8.3,6,5.8,6,system
139,14,9,5.5,5.3,7.7,7.6,6.5,system
140,14,10,8.2,7.3,4.7,7.8,7,system
141,15,1,5.7,6.2,5.9,8.1,6.5,system
142,15,2,6.4,7.8,8.7,7.4,7.6,system
143,15,3,4.2,5.4,6.8,9.9,6.6,system
144,15,4,8.4,9.8,4.3,5.8,7.1,system
145,15,5,4,7.1,5,6.5,5.7,system
146,15,6,9.2,5.1,8.6,8.9,8,system
147,15,7,4.5,5.6,4.1,10,6.1,system
148,15,8,9.4,7.2,7.2,4.9,7.2,system
149,15,9,6.4,7.9,10,4.3,7.2,system
150,15,10,8.2,9.5,5.6,9.8,8.3,system
151,16,1,8,5.4,9.4,7.2,7.5,system
152,16,2,9.1,8,9.7,9.6,9.1,system
153,16,3,5.5,8,7.3,4.3,6.3,system
154,16,4,9.9,5.9,4.6,9.8,7.6,system
155,16,5,9.5,6.1,7,7.2,7.5,system
156,16,6,5.4,5.5,7.2,4.1,5.6,system
157,16,7,8.5,6.7,7.3,9.2,7.9,system
158,16,8,9.8,9,6.9,8.9,8.7,system
159,16,9,4.9,5.5,9,6.4,6.5,system
160,16,10,5.2,4.9,8.1,6.3,6.1,system
161,17,1,4.6,9.7,6.1,8.2,7.2,system
162,17,2,4.2,9.5,7.3,8.3,7.3,system
163,17,3,5.1,4.1,4.2,6.2,4.9,system
164,17,4,4.2,7.8,8.5,7.1,6.9,system
165,17,5,6.6,9.4,4.2,4.1,6.1,system
166,17,6,8.7,6.7,6.6,4.4,6.6,system
167,17,7,8.1,4.3,9.9,5,6.8,system
168,17,8,5.8,5.5,7.5,6.9,6.4,system
169,17,9,4.3,7.3,6.6,6.4,6.2,system
170,17,10,5.6,5.6,8.3,9.7,7.3,system
171,18,1,5.7,6.1,6,6.4,6.1,system
172,18,2,7.4,8.8,7.1,5.8,7.3,system
173,18,3,7.5,9.9,4.1,6.4,7,system
174,18,4,8.9,5.7,5.1,7.1,6.7,system
175,18,5,5.1,5.1,7.7,5.6,5.9,system
176,18,6,9.3,4.1,6.1,7.2,6.7,system
177,18,7,8,7.8,4.9,9.7,7.6,system
178,18,8,5.3,7.4,4.6,8.5,6.5,system
179,18,9,5.2,6,4.8,5,5.3,system
180,18,10,7.9,6.5,5.9,6.4,6.7,system
181,19,1,4.7,5.2,7.5,6.1,5.9,system
182,19,2,7.2,10,7,6.4,7.7,system
183,19,3,7.9,6.1,4.3,8.8,6.8,system
184,19,4,5.9,7.6,7.8,9.2,7.6,system
185,19,5,5.2,7.6,4.1,8.2,6.3,system
186,19,6,8.2,9,5.9,6.1,7.3,system
187,19,7,6.4,7.3,5.3,7.9,6.7,system
188,19,8,6,9.8,7.1,4.5,6.9,system
189,19,9,4.1,8.5,8,6.4,6.8,system
190,19,10,8.9,5.1,5.2,6.1,6.3,system
191,20,1,9.7,5.4,4.5,7.1,6.7,system
192,20,2,7.9,6.4,8.2,5.7,7.1,system
193,20,3,6.5,9,7.6,4.7,7,system
194,20,4,7.9,8.2,9.5,5.1,7.7,system
195,20,5,9.2,6.2,7.8,5.2,7.1,system
196,20,6,9.5,6.3,7.6,9.1,8.1,system
197,20,7,7,5.4,5.1,6.3,6,system
198,20,8,5.1,6.1,5.8,9.9,6.7,system
199,20,9,9.2,6.1,7.6,5.4,7.1,system
200,20,10,5.9,8.9,5.7,7.5,7,system
201,21,1,9,5.8,6,8.2,7.3,system
202,21,2,8.3,4.2,5.8,4.1,5.6,system
203,21,3,5.3,9.9,5,8.5,7.2,system
204,21,4,9.9,5,8.5,8.4,8,system
205,21,5,6.3,8,8.6,7.9,7.7,system
206,21,6,9.8,9.8,8.4,8,9,system
207,21,7,6.9,7.2,6.4,7,6.9,system
208,21,8,8,6.6,8.5,4.6,6.9,system
209,21,9,4.2,6.8,9.2,4.7,6.2,system
210,21,10,6.4,6.3,6.9,8.8,7.1,system
211,22,1,5.3,9.8,5.5,5.8,6.6,system
212,22,2,7.3,6.7,8.6,4.1,6.7,system
213,22,3,4.9,9.6,6.7,6,6.8,system
214,22,4,7.2,6.3,9.5,5.2,7.1,system
215,22,5,7.2,9.3,6.1,4.1,6.7,system
216,22,6,4.9,7.9,10,6.8,7.4,system
217,22,7,7,6.5,7.3,5,6.5,system
218,22,8,4.4,9.3,7.1,6.9,6.9,system
219,22,9,4.7,4.8,8,5.5,5.8,system
220,22,10,6.8,4.6,10,6.1,6.9,system
221,23,1,8.3,6.2,5.7,9.4,7.4,system
222,23,2,9.6,6.8,9.2,9.8,8.9,system
223,23,3,8.9,5.5,5.8,5.8,6.5,system
224,23,4,4,6,5,4.3,4.8,system
225,23,5,9.4,7.9,9.1,8.2,8.7,system
226,23,6,4,7.4,9.7,4.2,6.3,system
227,23,7,9.1,9.6,10,9.1,9.5,system
228,23,8,6.6,5.7,9.8,7.3,7.4,system
229,23,9,9.9,9.2,5.7,5.7,7.6,system
230,23,10,7.8,4.3,4.1,8.9,6.3,system
231,24,1,7.8,8.6,8.1,4.1,7.2,system
232,24,2,7.2,5.5,9.6,9.1,7.9,system
233,24,3,9.5,4.4,6.1,9.3,7.3,system
234,24,4,4.8,9.1,7.5,4.9,6.6,system
235,24,5,8.4,6,7.5,9.3,7.8,system
236,24,6,8.7,7.6,6.6,9.1,8,system
237,24,7,5.3,9.3,8.4,9.2,8.1,system
238,24,8,7.1,8.7,6,6.1,7,system
239,24,9,6.7,7.2,8.5,5.3,6.9,system
240,24,10,8.8,5.4,8.5,8.8,7.9,system
241,25,1,5.5,5.3,7.7,7.6,6.5,system
242,25,2,8.6,8.1,9.1,8.5,8.6,system
243,25,3,9.3,8.8,6.7,8.3,8.3,system
244,25,4,9.3,6.3,6,6.9,7.1,system
245,25,5,6.2,4.7,7,5.9,6,system
246,25,6,6.8,8.5,6.9,5,6.8,system
247,25,7,9.1,5.6,5.7,5.4,6.5,system
248,25,8,4.3,6.2,5.6,4.3,5.1,system
249,25,9,8.7,4.8,7.7,8.9,7.5,system
250,25,10,7.2,5,6,9.1,6.8,system
251,26,1,9.1,5.4,8.5,9.8,8.2,system
252,26,2,4.3,7.9,6,6.1,6.1,system
253,26,3,9.8,8.4,5.7,7.4,7.8,system
254,26,4,6.3,8.1,5.8,4.7,6.2,system
255,26,5,5.6,5.4,4.4,4.7,5,system
256,26,6,7,5.7,6.5,4.3,5.9,system
257,26,7,8,8.4,8.7,4.6,7.4,system
258,26,8,5.1,9.9,7.5,5.8,7.1,system
259,26,9,4.2,6.9,8.1,7.5,6.7,system
260,26,10,5.4,7.7,7.9,4.2,6.3,system
261,27,1,9.9,7.4,4.2,9.3,7.7,system
262,27,2,9.7,7.4,7.2,9.2,8.4,system
263,27,3,7.3,4.7,9.5,8.1,7.4,system
264,27,4,5.8,5.9,6.2,7.5,6.4,system
265,27,5,7.2,5.7,5.4,7.2,6.4,system
266,27,6,8.4,9.2,5.4,5.7,7.2,system
267,27,7,9.2,5.3,4.2,9.7,7.1,system
268,27,8,5.4,9.7,7.6,9.2,8,system
269,27,9,9.8,5.2,6.1,9.8,7.7,system
270,27,10,9.3,4.6,9.6,7.5,7.8,system
271,28,1,7.5,9.5,4.7,7.7,7.4,system
272,28,2,5.4,8,6.9,9.4,7.4,system
273,28,3,7.7,8.3,9.8,8.6,8.6,system
274,28,4,8.6,8.2,7.9,5.8,7.6,system
275,28,5,5.2,5.3,6.3,5.1,5.5,system
276,28,6,6.6,5.5,9.1,9,7.6,system
277,28,7,9.3,9.9,9.9,4.1,8.3,system
278,28,8,4.8,7.5,7,8.1,6.9,system
279,28,9,7.4,5.6,5.6,8.6,6.8,system
280,28,10,7.5,4.7,4.4,9.7,6.6,system
281,29,1,6.2,6.7,8.3,7.6,7.2,system
282,29,2,4.8,9.9,5.7,9.9,7.6,system
283,29,3,8.6,4,8.6,5.1,6.6,system
284,29,4,4.5,5.1,6.1,4.1,5,system
285,29,5,9.9,6.1,10,9.2,8.8,system
286,29,6,7.2,9,7.2,5,7.1,system
287,29,7,6.6,7.3,6.1,8.7,7.2,system
288,29,8,4.4,5.8,7.1,8.3,6.4,system
289,29,9,5.8,9.3,4.6,8.9,7.2,system
290,29,10,6,8.8,7.2,9,7.8,system
291,30,1,9.2,7.5,6.7,8.5,8,system
292,30,2,6.4,9.7,9.3,8,8.4,system
293,30,3,8.8,7.8,7.6,6.3,7.6,system
294,30,4,4.3,6.7,8.3,5.1,6.1,system
295,30,5,9.4,6.1,5,6.6,6.8,system
296,30,6,10,6.1,8.1,5.5,7.4,system
297,30,7,7.2,8.8,5.6,10,7.9,system
298,30,8,4.9,8.3,9.2,9.8,8.1,system
299,30,9,7.2,4.5,5.2,9.6,6.6,system
300,30,10,7.7,9.5,4.3,5.6,6.8,system
301,31,1,6.7,5.2,6.5,7.6,6.5,system
302,31,2,6,9.4,6.2,9,7.7,system
303,31,3,8.6,8.5,9.7,9.5,9.1,system
304,31,4,7.7,4.9,7.7,8,7.1,system
305,31,5,5.9,8.5,9.8,9.9,8.5,system
306,31,6,4,7.3,6,4.5,5.5,system
307,31,7,6.3,5.9,9.9,4,6.5,system
308,31,8,7.5,5.9,7.3,8.8,7.4,system
309,31,9,7.2,7.2,7.7,6.7,7.2,system
310,31,10,5.8,5.4,7.5,9.4,7,system
311,32,1,5.6,5.8,6.9,5,5.8,system
312,32,2,6.9,8.5,9.5,7.5,8.1,system
313,32,3,9.7,5,5.5,7.1,6.8,system
314,32,4,6.7,8.9,6.1,9.1,7.7,system
315,32,5,9.5,5.1,8.6,6.9,7.5,system
316,32,6,8.6,8.2,4.8,5.8,6.9,system
317,32,7,9.6,6.2,7.5,7.3,7.7,system
318,32,8,4.7,5.3,6,7.4,5.9,system
319,32,9,7.7,8.1,4.9,5.8,6.6,system
320,32,10,4,7.6,4.5,5.5,5.4,system
321,33,1,6.5,5.3,9.3,8.2,7.3,system
322,33,2,8,4.6,4.4,5.6,5.7,system
323,33,3,5.1,7.6,4.1,7.6,6.1,system
324,33,4,5.2,7.1,7.2,7.4,6.7,system
325,33,5,9.3,5.5,8.3,9,8,system
326,33,6,7.7,8.7,4.6,5.7,6.7,system
327,33,7,8.6,6.3,9.4,4.6,7.2,system
328,33,8,8.8,7.9,5.5,7.4,7.4,system
329,33,9,9.6,7.1,5.7,6.4,7.2,system
330,33,10,5.7,4.7,6.4,9.4,6.6,system
331,34,1,4.1,9.8,5.9,7,6.7,system
332,34,2,6.2,6.6,9.2,7.3,7.3,system
333,34,3,5.1,7.7,8.4,7.9,7.3,system
334,34,4,5.2,6.3,4.6,7.8,6,system
335,34,5,6.5,8.5,4.5,7.4,6.7,system
336,34,6,5.3,8.7,6,5.1,6.3,system
337,34,7,6.8,4.8,7.1,7.6,6.6,system
338,34,8,6.5,9.3,4.3,4.6,6.2,system
339,34,9,5.5,9.5,8.1,7,7.5,system
340,34,10,5.9,8.1,9.2,4.2,6.9,system
341,35,1,5.4,8.3,7.8,9.9,7.9,system
342,35,2,6.6,4.4,5.4,4.5,5.2,system
343,35,3,6.7,7.5,9.7,7.4,7.8,system
344,35,4,7.5,4.4,6.7,9.5,7,system
345,35,5,7.9,5.8,7.2,9.7,7.7,system
346,35,6,5.2,9.2,4,5.8,6.1,system
347,35,7,9.1,8,4.6,7.9,7.4,system
348,35,8,8.9,6.3,5,4.6,6.2,system
349,35,9,9.3,6.8,4.2,6.1,6.6,system
350,35,10,4.9,5.1,9.2,4.8,6,system
351,36,1,9.5,4.6,5,6.2,6.3,system
352,36,2,5.1,8.3,8.6,8.9,7.7,system
353,36,3,5.4,6.1,5.2,9,6.4,system
354,36,4,4.7,4.3,4.7,9.2,5.7,system
355,36,5,8.7,9.6,6.6,5.4,7.6,system
356,36,6,7,6.3,5.4,5.8,6.1,system
357,36,7,7.1,9.8,9.7,6.8,8.4,system
358,36,8,8.7,6.3,7.4,9.6,8,system
359,36,9,6.4,8.9,5.7,4.9,6.5,system
360,36,10,9.1,4.7,6.3,9.9,7.5,system
361,37,1,5.7,5.9,9.6,7.4,7.2,system
362,37,2,8.5,8.1,7.1,7.8,7.9,system
363,37,3,4.6,8.2,4.2,8.6,6.4,system
364,37,4,6.3,4,4,6.4,5.2,system
365,37,5,6.5,5.1,9.8,9.4,7.7,system
366,37,6,8.5,6.4,9.6,6.7,7.8,system
367,37,7,4.9,9.5,4.8,8.6,7,system
368,37,8,6.5,8.2,4.8,8.9,7.1,system
369,37,9,6.2,7.6,6.5,6.2,6.6,system
370,37,10,4.6,9,4.6,8.4,6.7,system
371,38,1,9,6.7,5.7,4.1,6.4,system
372,38,2,9.4,9.6,9.4,8.4,9.2,system
373,38,3,7.4,4.3,5,7.9,6.2,system
374,38,4,6.2,9.7,6.4,9,7.8,system
375,38,5,6.3,5.4,10,9.2,7.7,system
376,38,6,9.5,7.7,9.5,9,8.9,system
377,38,7,9.8,7.9,8.1,7.3,8.3,system
378,38,8,9.9,9.8,8.1,9.5,9.3,system
379,38,9,8.1,4.3,4.5,4.1,5.3,system
380,38,10,5.1,7.2,8.3,7.8,7.1,system
381,39,1,7.3,6.2,5.3,8.2,6.8,system
382,39,2,7.5,8.6,6.6,9.9,8.2,system
383,39,3,4.1,4.3,4.7,6.1,4.8,system
384,39,4,7.3,7.4,8.8,5.8,7.3,system
385,39,5,9.7,10,7.7,5.6,8.3,system
386,39,6,5.5,7,9.2,6.5,7.1,system
387,39,7,7.4,6.9,6.7,8.1,7.3,system
388,39,8,6.2,9.1,8.9,5.5,7.4,system
389,39,9,8.6,4.1,6.1,9.7,7.1,system
390,39,10,5.6,5.8,7.9,4.4,5.9,system
391,40,1,8.8,4.7,4.4,8.3,6.6,system
392,40,2,8.9,5.3,6.5,9.4,7.5,system
393,40,3,9.7,9.4,9.1,6.6,8.7,system
394,40,4,7.4,6.3,5.9,5.8,6.4,system
395,40,5,6.5,4.6,8.7,8.1,7,system
396,40,6,8.7,4.3,5,4.1,5.5,system
397,40,7,6.4,9.6,5.4,5.1,6.6,system
398,40,8,4.1,8.6,7.7,9.3,7.4,system
399,40,9,4.7,5.3,7.7,5,5.7,system
400,40,10,6.3,6.1,7.2,7.9,6.9,system
401,41,1,4.2,8.5,8.2,5.2,6.5,system
402,41,2,8.1,8.9,8,5.7,7.7,system
403,41,3,9.8,5.2,8.9,9.6,8.4,system
404,41,4,7.5,9.9,4.1,8.6,7.5,system
405,41,5,8.9,8.9,6.5,8.2,8.1,system
406,41,6,5.1,9.3,4.7,8.2,6.8,system
407,41,7,9.7,5.8,7.2,7.9,7.7,system
408,41,8,9.3,6.8,7.2,8.9,8.1,system
409,41,9,9.8,4.6,8,6.2,7.2,system
410,41,10,5.7,6.4,4.3,10,6.6,system
411,42,1,8.8,6.7,8,8.8,8.1,system
412,42,2,5.7,7.3,6.3,9.1,7.1,system
413,42,3,5,4.6,8.5,7.4,6.4,system
414,42,4,9.8,9.4,9.1,5.7,8.5,system
415,42,5,7.4,5.5,5.6,5,5.9,system
416,42,6,9.4,7.2,5.5,7.1,7.3,system
417,42,7,9.4,4.1,8.3,5.9,6.9,system
418,42,8,7.9,7.3,6.1,6.7,7,system
419,42,9,4.3,10,4,7.6,6.5,system
420,42,10,10,7.3,9.1,6.5,8.2,system
421,43,1,4.3,9.5,7.4,4.3,6.4,system
422,43,2,6.4,6.2,4.8,6.3,5.9,system
423,43,3,6.7,7.1,4.1,9.8,6.9,system
424,43,4,4.6,5.1,9.6,7,6.6,system
425,43,5,6.5,4.3,6,4,5.2,system
426,43,6,9.8,7.6,9.9,9.2,9.1,system
427,43,7,5.8,9.8,5.5,8,7.3,system
428,43,8,6,5.2,5.7,5.5,5.6,system
429,43,9,5.1,5.5,7.2,7,6.2,system
430,43,10,4.8,4.5,6.3,5.5,5.3,system
431,44,1,5.5,6.4,7.8,6.5,6.6,system
432,44,2,8,8.4,7,7.8,7.8,system
433,44,3,4.1,8.8,9.2,9.5,7.9,system
434,44,4,6.4,6.8,4.4,4.4,5.5,system
435,44,5,8.2,5.6,4.6,6.4,6.2,system
436,44,6,4.2,7.9,4.9,9.5,6.6,system
437,44,7,7,4.5,9.9,4.1,6.4,system
438,44,8,8.8,6.7,8.1,8.5,8,system
439,44,9,6.5,9.8,5.4,5.2,6.7,system
440,44,10,6.8,5.6,6.8,4.2,5.9,system
441,45,1,7.8,4.3,7.7,7.7,6.9,system
442,45,2,5,7.8,5.4,5.1,5.8,system
443,45,3,6.1,7.8,5.9,7.6,6.9,system
444,45,4,5.7,5.7,4.1,4.2,4.9,system
445,45,5,8.2,7.5,4.1,5,6.2,system
446,45,6,9.9,7,5.2,6.8,7.2,system
447,45,7,7.9,6.9,5.3,7.3,6.9,system
448,45,8,7.3,5.4,6.7,9,7.1,system
449,45,9,4.3,8.3,4.6,9.4,6.7,system
450,45,10,4.4,5.9,7.8,7.9,6.5,system
451,46,1,4.6,4.1,7.8,10,6.6,system
452,46,2,7.5,4.1,4.9,8.6,6.3,system
453,46,3,4.2,4.2,9,8.8,6.6,system
454,46,4,6.7,8.3,4.1,5.5,6.2,system
455,46,5,4.8,4.7,7.7,6.8,6,system
456,46,6,8.1,8.7,5.1,8.3,7.6,system
457,46,7,8.5,9.8,9.3,7.4,8.8,system
458,46,8,9.5,9.8,8.9,4.9,8.3,system
459,46,9,6.6,7.9,5.1,7.3,6.7,system
460,46,10,8,5.9,8.7,8.2,7.7,system
461,47,1,9.5,8.6,6.6,8.9,8.4,system
462,47,2,9.5,7,9,8.8,8.6,system
463,47,3,4.1,5,4.8,7.8,5.4,system
464,47,4,5.4,6.6,7.2,8.7,7,system
465,47,5,8,6,9.9,7.2,7.8,system
466,47,6,4.2,5.6,5.2,7,5.5,system
467,47,7,9,8.6,6,8.7,8.1,system
468,47,8,9.6,8,9.1,9.2,9,system
469,47,9,6.4,8.2,5.4,8.1,7,system
470,47,10,6.1,4.9,8.4,4.4,6,system
471,48,1,7.9,4.7,8.7,4.2,6.4,system
472,48,2,7.9,4.5,4.8,6.3,5.9,system
473,48,3,5.6,7.3,10,6.1,7.3,system
474,48,4,7.9,5.6,8.1,4.7,6.6,system
475,48,5,6.6,8.3,7.2,5.1,6.8,system
476,48,6,6.6,8.9,4.5,7.1,6.8,system
477,48,7,6.9,4.4,7.8,4.9,6,system
478,48,8,5.7,6.7,8.1,10,7.6,system
479,48,9,4.4,4.2,7.3,8.2,6,system
480,48,10,7.5,6.9,4.4,6.4,6.3,system
